series,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates
SP500_1X,-0.3282437828,-0.4737343705,-0.5488705681,-0.3346748342,-0.2400993568
UPRO_ALWAYS_3X,-0.8049287182,-0.9245597204,-0.9553716442,-0.7634505676,-0.6301651353
SSO_ALWAYS_2X,-0.6057957487,-0.7891288965,-0.8428270471,-0.5875919132,-0.4591219479
UPRO_SMA_TO_SP500,-0.5470609571,-0.6729952475,-0.650378128,-0.4804960248,-0.4615472597
UPRO_SMA_TO_TBILL,-0.4263982657,-0.424841109,-0.2896632086,-0.2980454698,-0.3827477188
UPRO60_TMF40,-0.4857808042,-0.6150148957,-0.7029098683,-0.2915467339,-0.6617158958
UPRO55_TMF45,-0.4461130186,-0.5457809442,-0.6477518762,-0.2348342784,-0.6657928991
UPRO50_LT50,-0.4170417289,-0.5931866748,-0.6687013542,-0.3215434426,-0.4807917259
UPRO60_TMF40_SMA,-0.4814072129,-0.5841120507,-0.5684105844,-0.2765403384,-0.4263612509
LEAPS_ATM_50_TBILL,-0.362071013,-0.7649380974,-0.7045176556,-0.5040259642,-0.4731747514
LEAPS_ATM_40_TBILL,-0.2978847316,-0.6600105959,-0.6010543354,-0.4192382568,-0.3783106478
LEAPS_ATM_50_TREASURY,-0.3461361405,-0.7085372923,-0.6516410203,-0.4383246307,-0.6270093429
LEAPS_ATM_40_TREASURY,-0.2806250383,-0.5752433312,-0.5251739641,-0.3390525098,-0.5646323878
LEAPS_ITM_30_TREASURY,-0.2060649267,-0.3569382634,-0.3493569337,-0.2135239295,-0.4856744166
LEAPS_RESTRUCK_3X,-0.4889757322,-0.959446086,-0.8724413532,-0.6043791171,-0.7995251579
